_id,flight_number,airline_name,planned_date,actual_date,destination_city,destination_country,terminal_number,check_in_number,check_in_zone,status_flight
1,7711,IBERIA,2026-02-08 04:00:00,2026-02-08 03:19:00,BARCELONA,SPAIN,3,,,LANDED
2,392,EL AL ISRAEL AIRLINES,2026-02-08 04:00:00,2026-02-08 03:19:00,BARCELONA,SPAIN,3,,,LANDED
3,7072,AIR FRANCE,2026-02-08 03:50:00,2026-02-08 03:21:00,PARIS,FRANCE,3,,,LANDED
4,7892,AERO MEXICO,2026-02-08 03:50:00,2026-02-08 03:21:00,PARIS,FRANCE,3,,,LANDED
5,326,EL AL ISRAEL AIRLINES,2026-02-08 03:50:00,2026-02-08 03:21:00,PARIS,FRANCE,3,,,LANDED
6,3158,SAS,2026-02-08 03:50:00,2026-02-08 03:21:00,PARIS,FRANCE,3,,,LANDED
7,928,AEGEAN  AIRLINES,2026-02-08 04:00:00,2026-02-08 03:42:00,ATHENS,GREECE,3,,,LANDED
8,592,ARKIA  ISRAELI  AIRLINES,2026-02-08 03:45:00,2026-02-08 04:00:00,BANGKOK,THAILAND,3,,,LANDED
9,151,LOT POLISH AIRLINES,2026-02-08 03:45:00,2026-02-08 04:00:00,WARSAW,POLAND,3,,,LANDED
10,9256,EL AL ISRAEL AIRLINES,2026-02-08 03:45:00,2026-02-08 04:00:00,WARSAW,POLAND,3,,,LANDED
11,7876,AERO MEXICO,2026-02-08 04:55:00,2026-02-08 04:09:00,LONDON,UNITED KINGDOM,3,,,LANDED
12,318,EL AL ISRAEL AIRLINES,2026-02-08 04:55:00,2026-02-08 04:09:00,LONDON,UNITED KINGDOM,3,,,LANDED
13,3174,SAS,2026-02-08 04:55:00,2026-02-08 04:09:00,LONDON,UNITED KINGDOM,3,,,LANDED
14,7496,VIRGIN ATLANTIC AIRWAYS,2026-02-08 04:55:00,2026-02-08 04:09:00,LONDON,UNITED KINGDOM,3,,,LANDED
15,086,EL AL ISRAEL AIRLINES,2026-02-08 04:20:00,2026-02-08 04:12:00,BANGKOK,THAILAND,3,,,LANDED
16,4587,THAI AIRWAYS,2026-02-08 04:20:00,2026-02-08 04:12:00,BANGKOK,THAILAND,3,,,LANDED
17,3297,VIETNAM AIRLINES,2026-02-08 04:20:00,2026-02-08 04:12:00,BANGKOK,THAILAND,3,,,LANDED
18,1286,SMARTWINGS,2026-02-08 04:35:00,2026-02-08 04:14:00,PRAGUE,CZECH REPUBLIC,3,,,LANDED
19,1083,AUSTRIAN AIRLINES,2026-02-08 05:00:00,2026-02-08 04:16:00,VIENNA,AUSTRIA,3,,,LANDED
20,7878,AERO MEXICO,2026-02-08 04:40:00,2026-02-08 04:28:00,MADRID,SPAIN,3,,,LANDED
21,7870,AEROLINEAS ARGENTINAS S.A.,2026-02-08 04:40:00,2026-02-08 04:28:00,MADRID,SPAIN,3,,,LANDED
22,7717,IBERIA,2026-02-08 04:40:00,2026-02-08 04:28:00,MADRID,SPAIN,3,,,LANDED
23,398,EL AL ISRAEL AIRLINES,2026-02-08 04:40:00,2026-02-08 04:28:00,MADRID,SPAIN,3,,,LANDED
